q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
kinda like feeling stupid?	similar(e,feelingStupid)	kind of like feeling stupid	kind of like {emotion:feeling stupid}	{e:it} is kind of like feeling stupid	NULL	NULL	1
which word that ive said is closest to it?	non-yes-no,askHint	NULL	NULL	NULL	NULL	NULL	1
in a sequence of events, would feel despair first, then the emotion, then give up?	sequenceOfEvents([despair,e,giveUp])	in a sequence of events would you feel despair first then the emotion then give up	{situation:in a sequence of events would {experiencer:you} feel {emotion:despair} first then {e:the emotion} then give up}	in a sequence of events you would feel despair first then {e:the emotion} then give up	NULL	NULL	1
and it would have the same intensity as despair?	e.activation==despair.activation	NULL	NULL	NULL	NULL	NULL	1
maybe hopelessness?	e==hopelessness	maybe hopelessness	maybe {emotion:hopelessness}	NULL	NULL	NULL	1
or desperate?	e==desperate	or desperate	or {emotion:desperate}	NULL	NULL	NULL	1
resign?	e==resignation	resigned	{emotion:resigned}	NULL	NULL	NULL	1
is it associated with anger\n?	associated(e,anger)	is it associated with anger	is {e:it} associated with {emotion:anger}	{e:it} is associated with anger	NULL	NULL	1
so its more of a sad emotion?	sad(e)	so is it more of a sad emotion	{interjection:so} is {e:it} more of a {emotion:sad} emotion	{e:it} is a sad emotion	NULL	NULL	1
is it an emotion toward someone else?	directed(e,otherPerson)	is it an emotion toward someone else	is {e:it} an emotion toward {beneficiary:someone else}	{e:it} is an emotion toward someone else	NULL	NULL	1
if you are\nplanning on going to the beach but there is apossibility it might rain would you feel like this\n?	situation(e,goingToBeachButThereIsAPossibilityOfRain)	if you are planning on going to the beach but there is a possibility it might rain would you feel like this	if {situation:{experiencer:you} are planning on going to the beach but there is a possibility it might rain} would {experiencer:you} feel {e:like this}	you would feel {e:like this} if you are planning on going to the beach but there is a possibility it might rain	NULL	NULL	1
if you are upset at someone would you feel this emotion?	situation(e,upsetAtSomeone)	if you are upset at someone would you feel this emotion	if {situation:{experiencer:you} are {emotion:upset} at {beneficiary:someone}} would {experiencer:you} feel {e:this emotion}	if you are upset at someone you would feel {e:this emotion}	NULL	NULL	1
so its a pretty intense emotion?	e.activation==high	so it is a pretty intense emotion	{interjection:so} {e:it} is a pretty intense emotion	{e:it} is a pretty intense emotion	NULL	NULL	1
you expected someone to open the door for you but they didnt do you feel this emotion?	situation(e,youExpectedSomeoneToOpenTheDoorButTheyDidnt)	you expected someone to open the door for you but they did not do you feel this emotion	{situation:{experiencer:you} expected someone to open the door for {experiencer:you} but they did not} do {experiencer:you} feel {e:this emotion}	you feel {e:this emotion} you expected someone to open the door for you but they did not	NULL	NULL	1
so you accidentally run over a cute bunny with your car would you feel like this?	situation(e,accidentallyRunOverACuteBunny)	so you accidentally run over a cute bunny with your car would you feel like this	{interjection:so} {situation:{experiencer:you} accidentally run over a cute bunny with {experiencer:your} car} would {experiencer:you} feel {e:like this}	you would feel {e:like this} if you accidentally run over a cute bunny with your car	NULL	NULL	1
is it associated with being embarassed?\nembarrassed\n?	associated(e,embarrassment)	is it associated with being embarrassed	is {e:it} associated with {emotion:being embarrassed}	{e:it} is associated with being embarrassed	NULL	NULL	1
is it associated with being shy?	associated(e,shyness)	is it associated with being shy	is {e:it} associated with {emotion:being shy}	{e:it} is associated with being shy	NULL	NULL	1
is it associated with being impatient?	associated(e,impatience)	is it associated with being impatient	is {e:it} associated with {emotion:being impatient}	{e:it} is associated with being impatient	NULL	NULL	1
is it assimilated to being tierd?\ntired	e==tired	is it associated with being tired	is {e:it} associated with {emotion:being tired}	{e:it} is associated with being tired	NULL	NULL	1
is it usually intense?	e.activation==high	is it usually intense	is {e:it} {modal:usually} intense	{e:it} is usually intense	NULL	NULL	1
when its intense do you laugh?	behavior(e,laughing)	when it is intense do you laugh	when {e:it} is intense do {experiencer:you} {behavior:laugh}	when {e:it} is intense you laugh	NULL	NULL	1
is it kinda like being optmistic?	similar(e,optimism)	is it kind of like being optimistic	is {e:it} {modal:kind of} like {emotion:being optimistic}	{e:it} is kind of like being optimistic	NULL	NULL	1
maybe kinda like being proud?	similar(e,pride)	maybe kind of like being proud	{interjection:maybe} {modal:kind of} like {emotion:being proud}	{e:it} is kind of like being proud	NULL	NULL	1
how about being plain happy?	similar(e,happiness)	how about being plain happy	how about {emotion:being plain happy}	NULL	NULL	NULL	1
does it happen when you're chilling watching your favorite tv show?	situation(e,watchingFavoriteTvShow)	does it happen when you are chilling watching your favorite tv show	does {e:it} happen when {situation:{experiencer:you} are chilling watching {experiencer:your} favorite tv show}	{e:it} happens when you are chilling watching your favorite tv show	NULL	NULL	1
maybe when youre at a great concert?	situation(e,atAGreatConcert)	maybe when you are at a great concert	{interjection:maybe} when {situation:{experiencer:you} are at a great concert}	{e:it} happens when you are at a great concert	NULL	NULL	1
hmm how about when youre looking foward to something	situation(e,lookingForwardToSomething)	hmm how about when you are looking foward to something	{interjection:hmm} how about when {situation:{experiencer:you} are looking foward to something}	{e:it} happens when you are looking foward to something	NULL	NULL	1
maybe exhilaration\n?	e==exhilaration	maybe exhilaration	{interjection:maybe} {emotion:exhilaration}	NULL	NULL	NULL	1
maybe relief?	e==relief	maybe relief	{interjection:maybe} {emotion:relief}	NULL	NULL	NULL	2
ok is it a negative emotion?	e.valence==negative	ok is it a negative emotion	{interjection:ok} is {e:it} a negative emotion	NULL	NULL	NULL	2
is it kinda like being sad?	similar(e,sadness)	is it kind of like being sad	is {e:it} {modal:kind of} like {emotion:being sad}	{e:it} is kind of like being sad	NULL	NULL	1
is it like misery?	e==misery	is it like misery	is {e:it} like {emotion:misery}	{e:it} is like misery	NULL	NULL	2
so a bit like suffering?	e==suffering	so a bit like suffering	{interjection:so} a bit like {emotion:suffering}	{e:it} is a bit like suffering	NULL	NULL	1
is a stronger or milder than suffering\n?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is it anguish?	e==anguish	is it anguish	is {e:it} {emotion:anguish}	NULL	NULL	NULL	1
is it associated with gilt?	associated(e,guilt)	is it associated with guilt	is {e:it} associated with {emotion:guilt}	{e:it} is associated with guilt	NULL	NULL	1
if you think someone is lying do you feel this emotion?	situation(e,someoneIsLying)	if you think someone is lying do you feel this emotion	if {situation:{experiencer:you} think someone is lying} do {experiencer:you} feel {e:this emotion}	you feel {e:this emotion} if you think someone is lying	NULL	NULL	1
so you cheated on a test would you feel this emotion?	situation(e,youCheatedOnATest)	so you cheated on a test would you feel this emotion	{interjection:so} {situation:{experiencer:you} cheated on a test} would {experiencer:you} feel {e:this emotion}	you would feel {e:this} if you cheated on a test	NULL	NULL	1
embarrassed?	e==embarrassed	embarrassed	{emotion:embarrassed}	NULL	NULL	NULL	1
neutral?	e.valence==neutral	neutral	{emotion:neutral}	NULL	NULL	NULL	1
ls it intense?	e.activation==high	is it intense	is {e:it} intense	NULL	NULL	NULL	1
is it more linked to anger than sadness?	similarity(e,anger)>similarity(e,sadness)	is it more linked to anger than sadness	is {e:it} more linked to {emotion:anger} than {emotion:sadness}	{e:it} is more linked to anger than sadness	NULL	NULL	1
is it kinda like sadness but mixed with another emotion?	e==mix(sadness,anotherEmotion)	is it kind of like sadness but mixed with another emotion	is {e:it} {modal:kind of} like {emotion:sadness} but mixed with another emotion	{e:it} is kind of like sadness but mixed with another emotion	NULL	NULL	1
is it different because there's shame?	e-sadness==shame	NULL	NULL	NULL	NULL	NULL	1
is the situation possibly losing in an important match?	situation(e,losingAnImportantMatch)	is the situation possibly losing in an important match	is the situation {modal:possibly} {situation:losing in an important match}	NULL	NULL	NULL	1
is it more likely when you've disappointed somebody?	situation(e,youveDisappointedSomebody)	is it more likely when you have disappointed somebody	is {e:it} more likely when {situation:{experiencer:you} have disappointed somebody}	{e:it} is more likely when you have disappointed somebody	NULL	NULL	1
is it helpless?	e==helpless	is it helpless	is {e:it} {emotion:helpless}	NULL	NULL	NULL	1
is it a positive emotion	e.valence==positive	is it a positive emotion	is {e:it} a positive emotion	NULL	NULL	NULL	1
is it similar to love?	similar(e,love)	is it similar to love	is {e:it} similar to {emotion:love}	{e:it} is similar to love	NULL	NULL	1
if you want love?	situation(e,youWantLove)	if you want love	if {situation:{experiencer:you} want {emotion:love}}	{e:it} is an emotion you feel if you want love	NULL	NULL	1
so its kinda like being excited?	similar(e,excitement)	so is it kind of like being excited	{interjection:so} is {e:it} {modal:kind of} like {emotion:being excited}	{e:it} kind of like being excited	NULL	NULL	1
is it like desiring something\n?	similar(e,disire)	is it like desiring something	is {e:it} like {emotion:desiring something}	{e:it} is like desiring something	NULL	NULL	1
longing?	e==longing	longing	{emotion:longing}	NULL	NULL	NULL	1
is it like sadness?	similar(e,sadness)	is it like sadness	is {e:it} like {emotion:sadness}	{e:it} is like sadness	NULL	NULL	6
like desperation?	similar(e,desperation)	like desperation	like {emotion:desperation}	{e:it} is like desperation	NULL	NULL	1
ummm terror!	e==terror	ummm terror	{interjection:ummm} {emotion:terror}	NULL	NULL	NULL	1
ok, is it positive?	e.valence==positive	ok is it positive	{interjection:ok} is {e:it} positive	NULL	NULL	NULL	1
does it happen after a great accomplishment?	situation(e,afterGreatAccomplishment)	does it happen after a great accomplishment	does {e:it} happen after {situation:a great accomplishment}	{e:it} happens after a great accomplishment	NULL	NULL	1
is like pridr/\n*pride	similar(e,pride)	is it like pride 	is {e:it} like {emotion:pride}	{e:it} is like pride	NULL	NULL	1
